06/10/2025 14:19:21 Start QTP2: SNC
06/10/2025 14:19:21 ||  0 || Sent:     || (0-0-0) || IDLE | HUB  | 0 ||    0 |    0 |   0 ||   0 ||
Error: Time-out (Nothing received). Elapsed time = 10.00 s. QS  1 (0-1-0). QTP terminated.
06/10/2025 14:19:35 || -1 || Sent:     || (0-0-1) || IDLE | HUB  | 1 ||    0 |    0 |   0 ||   1 ||
06/10/2025 14:19:39 End QTP2: SNC
06/10/2025 14:19:40 Start QTP2: SNC
06/10/2025 14:19:40 ||  0 || Sent:     || (0-0-0) || IDLE | HUB  | 0 ||    0 |    0 |   0 ||   0 ||
06/10/2025 14:19:41 ||  1 || Received: || (0-1-0) || IDLE | SNC  | 0 ||    1 |   50 |   0 ||  16 ||
06/10/2025 14:19:42 ||  2 || Sent:     || (1-3-0) || CAL  | SS   | 0 ||    0 |    0 |   0 || 112 ||
06/10/2025 14:19:42 ||  3 || Sent:     || (1-2-0) || CAL  | MDPS | 0 ||   10 |   10 |   0 ||  96 ||
06/10/2025 14:19:42 ||  4 || Sent:     || (1-2-1) || CAL  | MDPS | 1 ||   94 |    0 |   0 ||  97 ||
06/10/2025 14:19:42 ||  5 || Sent:     || (1-3-1) || CAL  | SS   | 1 ||    0 |   27 |   0 || 113 ||
06/10/2025 14:19:43 ||  6 || Received: || (1-1-0) || CAL  | SNC  | 0 ||    0 |    0 |   0 ||  80 ||
06/10/2025 14:19:44 ||  4 || Sent:     || (1-2-1) || CAL  | MDPS | 1 ||   89 |    0 |   0 ||  97 ||
06/10/2025 14:19:44 ||  5 || Sent:     || (1-3-1) || CAL  | SS   | 1 ||    1 |   20 |   0 || 113 ||
06/10/2025 14:19:44 ||  6 || Received: || (1-1-0) || CAL  | SNC  | 0 ||    0 |    0 |   0 ||  80 ||
06/10/2025 14:19:45 ||  4 || Sent:     || (1-2-1) || CAL  | MDPS | 1 ||   84 |    0 |   0 ||  97 ||
06/10/2025 14:19:45 ||  5 || Sent:     || (1-3-1) || CAL  | SS   | 1 ||    0 |  130 |   0 || 113 ||
06/10/2025 14:19:46 ||  6 || Received: || (1-1-0) || CAL  | SNC  | 0 ||    0 |    0 |   0 ||  80 ||
06/10/2025 14:19:47 ||  4 || Sent:     || (1-2-1) || CAL  | MDPS | 1 ||   82 |    0 |   0 ||  97 ||
06/10/2025 14:19:47 ||  5 || Sent:     || (1-3-1) || CAL  | SS   | 1 ||    0 |  147 |   0 || 113 ||
06/10/2025 14:19:47 ||  6 || Received: || (1-1-0) || CAL  | SNC  | 0 ||    0 |    0 |   0 ||  80 ||
06/10/2025 14:19:48 ||  4 || Sent:     || (1-2-1) || CAL  | MDPS | 1 ||   94 |    0 |   0 ||  97 ||
06/10/2025 14:19:48 ||  5 || Sent:     || (1-3-1) || CAL  | SS   | 1 ||    0 |  192 |   0 || 113 ||
06/10/2025 14:19:49 ||  6 || Received: || (1-1-0) || CAL  | SNC  | 0 ||    0 |    0 |   0 ||  80 ||
06/10/2025 14:19:50 ||  4 || Sent:     || (1-2-1) || CAL  | MDPS | 1 ||   84 |    0 |   0 ||  97 ||
06/10/2025 14:19:50 ||  5 || Sent:     || (1-3-1) || CAL  | SS   | 1 ||    0 |  163 |   0 || 113 ||
06/10/2025 14:19:50 ||  6 || Received: || (1-1-0) || CAL  | SNC  | 0 ||    1 |    0 |   0 ||  80 ||
QTP complete (QS  7). Ctrl (1-1-0): Second touch received ...
06/10/2025 14:19:52 ||  7 || Received: || (2-1-1) || MAZE | SNC  | 1 ||    0 |    0 |   0 || 145 ||
06/10/2025 14:19:52 ||  8 || Received: || (2-1-2) || MAZE | SNC  | 2 ||    0 |    0 |   0 || 146 ||
06/10/2025 14:19:53 ||  9 || Received: || (2-1-3) || MAZE | SNC  | 3 ||   10 |   10 |   0 || 147 ||
06/10/2025 14:19:53 || 12 || Sent:     || (2-2-1) || MAZE | MDPS | 1 ||   80 |    0 |   0 || 161 ||
06/10/2025 14:19:53 || 13 || Sent:     || (2-2-2) || MAZE | MDPS | 2 ||    0 |  108 |   0 || 162 ||
06/10/2025 14:19:53 || 14 || Sent:     || (2-2-3) || MAZE | MDPS | 3 ||   50 |   43 |   0 || 163 ||
06/10/2025 14:19:53 || 15 || Sent:     || (2-2-4) || MAZE | MDPS | 4 ||    0 |  126 |   0 || 164 ||
06/10/2025 14:19:53 || 16 || Sent:     || (2-3-1) || MAZE | SS   | 1 ||    0 |    0 |   0 || 177 ||
06/10/2025 14:19:53 || 17 || Sent:     || (2-3-2) || MAZE | SS   | 2 ||   36 |    0 |   0 || 178 ||
06/10/2025 14:19:53 || 18 || Received: || (2-1-1) || MAZE | SNC  | 1 ||    0 |    0 |   0 || 145 ||
06/10/2025 14:19:54 || 19 || Received: || (2-1-2) || MAZE | SNC  | 2 ||    0 |    0 |   0 || 146 ||
06/10/2025 14:19:54 || 20 || Received: || (2-1-3) || MAZE | SNC  | 3 ||   10 |   10 |   0 || 147 ||
06/10/2025 14:19:54 || 12 || Sent:     || (2-2-1) || MAZE | MDPS | 1 ||   80 |    0 |   0 || 161 ||
06/10/2025 14:19:54 || 13 || Sent:     || (2-2-2) || MAZE | MDPS | 2 ||    0 |  108 |   0 || 162 ||
06/10/2025 14:19:54 || 14 || Sent:     || (2-2-3) || MAZE | MDPS | 3 ||   50 |   43 |   0 || 163 ||
06/10/2025 14:19:54 || 15 || Sent:     || (2-2-4) || MAZE | MDPS | 4 ||    0 |  126 |   0 || 164 ||
06/10/2025 14:19:55 || 16 || Sent:     || (2-3-1) || MAZE | SS   | 1 ||    0 |    0 |   0 || 177 ||
06/10/2025 14:19:55 || 17 || Sent:     || (2-3-2) || MAZE | SS   | 2 ||   36 |    0 |   0 || 178 ||
06/10/2025 14:19:55 || 18 || Received: || (2-1-1) || MAZE | SNC  | 1 ||    0 |    0 |   0 || 145 ||
