Model,TBS1072C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,390.625
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
0.000e+00,-78.4156
1.250e+01,-82.0406
2.500e+01,-85.6656
3.750e+01,-80.7875
5.000e+01,-75.9094
6.250e+01,-84.1469
7.500e+01,-92.3812
8.750e+01,-86.2281
1.000e+02,-80.075
1.125e+02,-83.3469
1.250e+02,-86.6188
1.375e+02,-86.575
1.500e+02,-86.5312
1.625e+02,-89.0062
1.750e+02,-91.4781
1.875e+02,-94.0062
2.000e+02,-96.5312
2.125e+02,-94.4563
2.250e+02,-92.3812
2.375e+02,-90.9625
2.500e+02,-89.5406
2.625e+02,-89.4563
2.750e+02,-89.3719
2.875e+02,-96.4469
3.000e+02,-103.519
3.125e+02,-97.0156
3.250e+02,-90.5094
3.375e+02,-92.5
3.500e+02,-94.4906
3.625e+02,-99.0062
3.750e+02,-103.519
3.875e+02,-100.025
4.000e+02,-96.5312
4.125e+02,-93.75
4.250e+02,-90.9688
4.375e+02,-97.2438
4.500e+02,-103.519
4.625e+02,-97.95
4.750e+02,-92.3812
4.875e+02,-92.95
5.000e+02,-93.5188
5.125e+02,-95.025
5.250e+02,-96.5312
5.375e+02,-98.5219
5.500e+02,-100.509
5.625e+02,-97.0156
5.750e+02,-93.5188
5.875e+02,-98.5188
6.000e+02,-103.519
6.125e+02,-98.5188
6.250e+02,-93.5188
6.375e+02,-95.025
6.500e+02,-96.5312
6.625e+02,-98.5219
6.750e+02,-100.509
6.875e+02,-98.5219
7.000e+02,-96.5312
7.125e+02,-94.4563
7.250e+02,-92.3812
7.375e+02,-97.95
7.500e+02,-103.519
7.625e+02,-97.0156
7.750e+02,-90.5094
7.875e+02,-93.5219
8.000e+02,-96.5312
8.125e+02,-97.0156
8.250e+02,-97.5
8.375e+02,-97.5
8.500e+02,-97.5
8.625e+02,-99.0062
8.750e+02,-100.509
8.875e+02,-98.5219
9.000e+02,-96.5312
9.125e+02,-93.875
9.250e+02,-91.2156
9.375e+02,-97.3688
9.500e+02,-103.519
9.625e+02,-100.025
9.750e+02,-96.5312
9.875e+02,-98.5219
1.000e+03,-100.509
1.012e+03,-98.5219
1.025e+03,-96.5312
1.038e+03,-97.0156
1.050e+03,-97.5
1.062e+03,-99.0062
1.075e+03,-100.509
1.088e+03,-100.509
1.100e+03,-100.509
1.112e+03,-102.016
1.125e+03,-103.519
1.138e+03,-99.0062
1.150e+03,-94.4906
1.162e+03,-95.5125
1.175e+03,-96.5312
1.188e+03,-100.025
1.200e+03,-103.519
1.212e+03,-100.025
1.225e+03,-96.5312
1.238e+03,-97.0156
1.250e+03,-97.5
1.262e+03,-95.5094
1.275e+03,-93.5188
1.288e+03,-95.025
1.300e+03,-96.5312
1.312e+03,-100.025
1.325e+03,-103.519
1.338e+03,-100.509
1.350e+03,-97.5
1.362e+03,-95.5094
1.375e+03,-93.5188
1.388e+03,-92.5
1.400e+03,-91.4781
1.412e+03,-95.9938
1.425e+03,-100.509
1.438e+03,-98.5219
1.450e+03,-96.5312
1.462e+03,-97.0156
1.475e+03,-97.5
1.488e+03,-97.0156
1.500e+03,-96.5312
1.512e+03,-93.75
1.525e+03,-90.9688
1.538e+03,-97.2438
1.550e+03,-103.519
1.562e+03,-100.509
1.575e+03,-97.5
1.588e+03,-99.0062
1.600e+03,-100.509
1.612e+03,-98.5219
1.625e+03,-96.5312
1.638e+03,-96.5312
1.650e+03,-96.5312
1.662e+03,-96.5312
1.675e+03,-96.5312
1.688e+03,-95.025
1.700e+03,-93.5188
1.712e+03,-97.0156
1.725e+03,-100.509
1.738e+03,-100.509
1.750e+03,-100.509
1.762e+03,-94.3594
1.775e+03,-88.2063
1.788e+03,-95.8625
1.800e+03,-103.519
1.812e+03,-102.016
1.825e+03,-100.509
1.838e+03,-102.016
1.850e+03,-103.519
1.862e+03,-103.519
1.875e+03,-103.519
1.888e+03,-98.75
1.900e+03,-93.9781
1.912e+03,-95.7406
1.925e+03,-97.5
1.938e+03,-99.0062
1.950e+03,-100.509
1.962e+03,-102.016
1.975e+03,-103.519
1.988e+03,-100.025
2.000e+03,-96.5312
2.012e+03,-95.2562
2.025e+03,-93.9781
2.038e+03,-98.75
2.050e+03,-103.519
2.062e+03,-100.025
2.075e+03,-96.5312
2.088e+03,-96.5312
2.100e+03,-96.5312
2.112e+03,-95.025
2.125e+03,-93.5188
2.138e+03,-97.0156
2.150e+03,-100.509
2.162e+03,-99.0062
2.175e+03,-97.5
2.188e+03,-95.7406
2.200e+03,-93.9781
2.212e+03,-93.9781
2.225e+03,-93.9781
2.238e+03,-98.75
2.250e+03,-103.519
2.262e+03,-99.0062
2.275e+03,-94.4906
2.288e+03,-94.2344
2.300e+03,-93.9781
2.312e+03,-95.2562
2.325e+03,-96.5312
2.338e+03,-95.025
2.350e+03,-93.5188
2.362e+03,-95.025
2.375e+03,-96.5312
2.388e+03,-92.9531
2.400e+03,-89.3719
2.412e+03,-94.9406
2.425e+03,-100.509
2.438e+03,-102.016
2.450e+03,-103.519
2.462e+03,-98.75
2.475e+03,-93.9781
2.488e+03,-95.7406
2.500e+03,-97.5
2.512e+03,-97.5
2.525e+03,-97.5
2.538e+03,-97.5
2.550e+03,-97.5
2.562e+03,-100.509
2.575e+03,-103.519
2.588e+03,-103.519
2.600e+03,-103.519
2.612e+03,-99.0062
2.625e+03,-94.4906
2.638e+03,-91.9313
2.650e+03,-89.3719
2.662e+03,-89.3719
2.675e+03,-89.3719
2.688e+03,-91.675
2.700e+03,-93.9781
2.712e+03,-95.7406
2.725e+03,-97.5
2.738e+03,-100.509
2.750e+03,-103.519
2.762e+03,-97.0156
2.775e+03,-90.5094
2.788e+03,-92.5
2.800e+03,-94.4906
2.812e+03,-94.0062
2.825e+03,-93.5188
2.838e+03,-98.5188
2.850e+03,-103.519
2.862e+03,-95.2531
2.875e+03,-86.9875
2.888e+03,-89.1031
2.900e+03,-91.2156
2.912e+03,-97.3688
2.925e+03,-103.519
2.938e+03,-102.016
2.950e+03,-100.509
2.962e+03,-95.8625
2.975e+03,-91.2156
2.988e+03,-89.1031
3.000e+03,-86.9875
3.012e+03,-90.7406
3.025e+03,-94.4906
3.038e+03,-95.5125
3.050e+03,-96.5312
3.062e+03,-91.5312
3.075e+03,-86.5312
3.088e+03,-85.7094
3.100e+03,-84.8875
3.112e+03,-89.4344
3.125e+03,-93.9781
3.138e+03,-90.2562
3.150e+03,-86.5312
3.162e+03,-88.875
3.175e+03,-91.2156
3.188e+03,-97.3688
3.200e+03,-103.519
3.212e+03,-100.025
3.225e+03,-96.5312
3.238e+03,-93.5219
3.250e+03,-90.5094
3.262e+03,-92.0156
3.275e+03,-93.5188
3.288e+03,-97.0156
3.300e+03,-100.509
3.312e+03,-97.0156
3.325e+03,-93.5188
3.338e+03,-91.4469
3.350e+03,-89.3719
3.362e+03,-96.4469
3.375e+03,-103.519
3.388e+03,-95.4563
3.400e+03,-87.3938
3.412e+03,-91.9625
3.425e+03,-96.5312
3.438e+03,-98.5219
3.450e+03,-100.509
3.462e+03,-102.016
3.475e+03,-103.519
3.488e+03,-97.95
3.500e+03,-92.3812
3.512e+03,-90.2938
3.525e+03,-88.2063
3.538e+03,-95.8625
3.550e+03,-103.519
3.562e+03,-103.519
3.575e+03,-103.519
3.588e+03,-98.5188
3.600e+03,-93.5188
3.612e+03,-92.0156
3.625e+03,-90.5094
3.638e+03,-97.0156
3.650e+03,-103.519
3.662e+03,-103.519
3.675e+03,-103.519
3.688e+03,-97.95
3.700e+03,-92.3812
3.712e+03,-91.8
3.725e+03,-91.2156
3.738e+03,-94.3594
3.750e+03,-97.5
3.762e+03,-100.509
3.775e+03,-103.519
3.788e+03,-100.509
3.800e+03,-97.5
3.812e+03,-94.9406
3.825e+03,-92.3812
3.838e+03,-94.4563
3.850e+03,-96.5312
3.862e+03,-95.025
3.875e+03,-93.5188
3.888e+03,-93.5188
3.900e+03,-93.5188
3.912e+03,-95.025
3.925e+03,-96.5312
3.938e+03,-100.025
3.950e+03,-103.519
3.962e+03,-103.519
3.975e+03,-103.519
3.988e+03,-97.2438
4.000e+03,-90.9688
4.012e+03,-93.75
4.025e+03,-96.5312
4.038e+03,-100.025
4.050e+03,-103.519
4.062e+03,-99.0062
4.075e+03,-94.4906
4.088e+03,-99.0062
4.100e+03,-103.519
4.112e+03,-97.95
4.125e+03,-92.3812
4.138e+03,-97.95
4.150e+03,-103.519
4.162e+03,-100.509
4.175e+03,-97.5
4.188e+03,-97.5
4.200e+03,-97.5
4.212e+03,-100.509
4.225e+03,-103.519
4.238e+03,-100.025
4.250e+03,-96.5312
4.262e+03,-98.5219
4.275e+03,-100.509
4.288e+03,-96.4469
4.300e+03,-92.3812
4.312e+03,-97.95
4.325e+03,-103.519
4.338e+03,-97.95
4.350e+03,-92.3812
4.362e+03,-97.95
4.375e+03,-103.519
4.388e+03,-100.025
4.400e+03,-96.5312
4.412e+03,-96.5312
4.425e+03,-96.5312
4.438e+03,-100.025
4.450e+03,-103.519
4.462e+03,-97.95
4.475e+03,-92.3812
4.488e+03,-97.95
4.500e+03,-103.519
4.512e+03,-100.025
4.525e+03,-96.5312
4.538e+03,-98.5219
4.550e+03,-100.509
4.562e+03,-102.016
4.575e+03,-103.519
4.588e+03,-103.519
4.600e+03,-103.519
4.612e+03,-98.75
4.625e+03,-93.9781
4.638e+03,-93.75
4.650e+03,-93.5188
4.662e+03,-95.5094
4.675e+03,-97.5
4.688e+03,-100.509
4.700e+03,-103.519
4.712e+03,-100.025
4.725e+03,-96.5312
4.738e+03,-95.025
4.750e+03,-93.5188
4.762e+03,-98.5188
4.775e+03,-103.519
4.788e+03,-103.519
4.800e+03,-103.519
